Author1,Author2,Shared Citations
J. Schmand,H. J. Andrä,3
Vincent Danos,Elham Kashefi,19
Mauro Iazzi,Kazuya Yuasa,4
E. Poem,Y. Gilead,3
E. Poem,Y. Lahini,3
E. Poem,Y. Silberberg,3
Y. Gilead,Y. Lahini,3
Y. Gilead,Y. Silberberg,3
Y. Lahini,Y. Silberberg,3
Joseph Reader,Jean-François Wyart,1
R. H. Garvey,A. E. S. Green,2
Hai-Rui Wei,Fu-Guo Deng,23
Carlos Eduardo Bielschowsky,Marco Antonio Chaer Nascimento,14
Carlos Eduardo Bielschowsky,Eduardo Hollauer,14
Marco Antonio Chaer Nascimento,Eduardo Hollauer,14
J. J. Pireaux,S. Svensson,160
J. J. Pireaux,E. Basilier,160
J. J. Pireaux,P-Å Malmqvist,160
J. J. Pireaux,U. Gelius,160
J. J. Pireaux,R. Caudano,160
J. J. Pireaux,K. Siegbahn,160
S. Svensson,E. Basilier,160
S. Svensson,P-Å Malmqvist,160
S. Svensson,U. Gelius,160
S. Svensson,R. Caudano,160
S. Svensson,K. Siegbahn,160
E. Basilier,P-Å Malmqvist,160
E. Basilier,U. Gelius,160
E. Basilier,R. Caudano,160
E. Basilier,K. Siegbahn,160
P-Å Malmqvist,U. Gelius,160
P-Å Malmqvist,R. Caudano,160
P-Å Malmqvist,K. Siegbahn,160
U. Gelius,R. Caudano,160
U. Gelius,K. Siegbahn,160
R. Caudano,K. Siegbahn,160
D. Mogilevtsev,Tomá? Tyc,5
D. Mogilevtsev,N. Korolkova,5
Tomá? Tyc,N. Korolkova,5
Ramesh D. Sharma,Pradip M. Bakshi,4
Ramesh D. Sharma,Joseph M. Sindoni,4
Pradip M. Bakshi,Joseph M. Sindoni,4
Alexander Szameit,Ivan L. Garanovich,25
Alexander Szameit,Matthias Heinrich,25
Alexander Szameit,Alexander Minovich,25
Alexander Szameit,Felix Dreisow,25
Alexander Szameit,Andrey A. Sukhorukov,25
Alexander Szameit,Thomas Pertsch,25
Alexander Szameit,Dragomir N. Neshev,25
Alexander Szameit,Stefan Nolte,25
Alexander Szameit,Wieslaw Krolikowski,25
Alexander Szameit,Andreas Tünnermann,25
Alexander Szameit,Arnan Mitchell,25
Alexander Szameit,Yuri S. Kivshar,25
Ivan L. Garanovich,Matthias Heinrich,25
Ivan L. Garanovich,Alexander Minovich,25
Ivan L. Garanovich,Felix Dreisow,25
Ivan L. Garanovich,Andrey A. Sukhorukov,25
Ivan L. Garanovich,Thomas Pertsch,25
Ivan L. Garanovich,Dragomir N. Neshev,25
Ivan L. Garanovich,Stefan Nolte,25
Ivan L. Garanovich,Wieslaw Krolikowski,25
Ivan L. Garanovich,Andreas Tünnermann,25
Ivan L. Garanovich,Arnan Mitchell,25
Ivan L. Garanovich,Yuri S. Kivshar,25
Matthias Heinrich,Alexander Minovich,25
Matthias Heinrich,Felix Dreisow,25
Matthias Heinrich,Andrey A. Sukhorukov,25
Matthias Heinrich,Thomas Pertsch,25
Matthias Heinrich,Dragomir N. Neshev,25
Matthias Heinrich,Stefan Nolte,25
Matthias Heinrich,Wieslaw Krolikowski,25
Matthias Heinrich,Andreas Tünnermann,25
Matthias Heinrich,Arnan Mitchell,25
Matthias Heinrich,Yuri S. Kivshar,25
Alexander Minovich,Felix Dreisow,25
Alexander Minovich,Andrey A. Sukhorukov,25
Alexander Minovich,Thomas Pertsch,25
Alexander Minovich,Dragomir N. Neshev,25
Alexander Minovich,Stefan Nolte,25
Alexander Minovich,Wieslaw Krolikowski,25
Alexander Minovich,Andreas Tünnermann,25
Alexander Minovich,Arnan Mitchell,25
Alexander Minovich,Yuri S. Kivshar,25
Felix Dreisow,Andrey A. Sukhorukov,25
Felix Dreisow,Thomas Pertsch,25
Felix Dreisow,Dragomir N. Neshev,25
Felix Dreisow,Stefan Nolte,25
Felix Dreisow,Wieslaw Krolikowski,25
Felix Dreisow,Andreas Tünnermann,25
Felix Dreisow,Arnan Mitchell,25
Felix Dreisow,Yuri S. Kivshar,25
Andrey A. Sukhorukov,Thomas Pertsch,25
Andrey A. Sukhorukov,Dragomir N. Neshev,25
Andrey A. Sukhorukov,Stefan Nolte,25
Andrey A. Sukhorukov,Wieslaw Krolikowski,25
Andrey A. Sukhorukov,Andreas Tünnermann,25
Andrey A. Sukhorukov,Arnan Mitchell,25
Andrey A. Sukhorukov,Yuri S. Kivshar,25
Thomas Pertsch,Dragomir N. Neshev,25
Thomas Pertsch,Stefan Nolte,25
Thomas Pertsch,Wieslaw Krolikowski,25
Thomas Pertsch,Andreas Tünnermann,25
Thomas Pertsch,Arnan Mitchell,25
Thomas Pertsch,Yuri S. Kivshar,25
Dragomir N. Neshev,Stefan Nolte,25
Dragomir N. Neshev,Wieslaw Krolikowski,25
Dragomir N. Neshev,Andreas Tünnermann,25
Dragomir N. Neshev,Arnan Mitchell,25
Dragomir N. Neshev,Yuri S. Kivshar,25
Stefan Nolte,Wieslaw Krolikowski,25
Stefan Nolte,Andreas Tünnermann,25
Stefan Nolte,Arnan Mitchell,25
Stefan Nolte,Yuri S. Kivshar,25
Wieslaw Krolikowski,Andreas Tünnermann,25
Wieslaw Krolikowski,Arnan Mitchell,25
Wieslaw Krolikowski,Yuri S. Kivshar,25
Andreas Tünnermann,Arnan Mitchell,25
Andreas Tünnermann,Yuri S. Kivshar,25
Arnan Mitchell,Yuri S. Kivshar,25
Martin Virte,Andreas Karsaklian Dal Bosco,6
Martin Virte,Delphine Wolfersberger,6
Martin Virte,Marc Sciamanna,6
Andreas Karsaklian Dal Bosco,Delphine Wolfersberger,6
Andreas Karsaklian Dal Bosco,Marc Sciamanna,6
Delphine Wolfersberger,Marc Sciamanna,6
Gary D. Blake,Donald Scarl,9
Z. L. Mi?kovic,W.-K. Liu,11
Z. L. Mi?kovic,You-Nian Wang,11
W.-K. Liu,You-Nian Wang,11
Shankar P. Das,James W. Dufty,11
S. S. Rangnekar,R. H. Enns,3
K. Ema,C. W. Garland,10
K. Ema,G. Sigaud,10
K. Ema,Nguyen Huu Tinh,10
C. W. Garland,G. Sigaud,10
C. W. Garland,Nguyen Huu Tinh,10
G. Sigaud,Nguyen Huu Tinh,10
Kihwan Kim,Heung-Ryoul Noh,11
Kihwan Kim,Hyun-Ji Ha,11
Kihwan Kim,Wonho Jhe,11
Heung-Ryoul Noh,Hyun-Ji Ha,11
Heung-Ryoul Noh,Wonho Jhe,11
Hyun-Ji Ha,Wonho Jhe,11
Robin Santra,Kevin V. Christ,52
Robin Santra,Chris H. Greene,52
Kevin V. Christ,Chris H. Greene,52
Z. Y. Xu,W. L. Yang,8
Z. Y. Xu,M. Feng,8
W. L. Yang,M. Feng,8
D. S. Krähmer,U. Leonhardt,5
Yong-Chun Liu,Yu-Feng Shen,1
Yong-Chun Liu,Qihuang Gong,1
Yong-Chun Liu,Yun-Feng Xiao,1
Yu-Feng Shen,Qihuang Gong,1
Yu-Feng Shen,Yun-Feng Xiao,1
Qihuang Gong,Yun-Feng Xiao,1
Brian Lee Beers,Lloyd Armstrong,125
Brian Lee Beers, Jr.,125
Lloyd Armstrong, Jr.,125
G. J. Seiler,R. S. Oberoi,81
G. J. Seiler,J. Callaway,81
R. S. Oberoi,J. Callaway,81
M. Fischer,J. Handt,2
M. Fischer,R. Schmidt,2
J. Handt,R. Schmidt,2
A. G. Yodh,T. W. Mossberg,8
A. G. Yodh,J. E. Thomas,8
T. W. Mossberg,J. E. Thomas,8
Eric L. Bolda,Raymond Y. Chiao,74
Eric L. Bolda,John C. Garrison,74
Raymond Y. Chiao,John C. Garrison,74
Pu Zou,Zhinan Zeng,19
Pu Zou,Yinghui Zheng,19
Pu Zou,Yingying Lu,19
Pu Zou,Peng Liu,19
Pu Zou,Ruxin Li,19
Pu Zou,Zhizhan Xu,19
Zhinan Zeng,Yinghui Zheng,19
Zhinan Zeng,Yingying Lu,19
Zhinan Zeng,Peng Liu,19
Zhinan Zeng,Ruxin Li,19
Zhinan Zeng,Zhizhan Xu,19
Yinghui Zheng,Yingying Lu,19
Yinghui Zheng,Peng Liu,19
Yinghui Zheng,Ruxin Li,19
Yinghui Zheng,Zhizhan Xu,19
Yingying Lu,Peng Liu,19
Yingying Lu,Ruxin Li,19
Yingying Lu,Zhizhan Xu,19
Peng Liu,Ruxin Li,19
Peng Liu,Zhizhan Xu,19
Ruxin Li,Zhizhan Xu,19
O.-P. Saira,V. Bergholm,10
O.-P. Saira,T. Ojanen,10
O.-P. Saira,M. Möttönen,10
V. Bergholm,T. Ojanen,10
V. Bergholm,M. Möttönen,10
T. Ojanen,M. Möttönen,10
R. Mathevet,K. Brodsky,2
R. Mathevet,J. Baudon,2
R. Mathevet,R. Brouri,2
R. Mathevet,M. Boustimi,2
R. Mathevet,B. Viaris de Lesegno,2
R. Mathevet,J. Robert,2
K. Brodsky,J. Baudon,2
K. Brodsky,R. Brouri,2
K. Brodsky,M. Boustimi,2
K. Brodsky,B. Viaris de Lesegno,2
K. Brodsky,J. Robert,2
J. Baudon,R. Brouri,2
J. Baudon,M. Boustimi,2
J. Baudon,B. Viaris de Lesegno,2
J. Baudon,J. Robert,2
R. Brouri,M. Boustimi,2
R. Brouri,B. Viaris de Lesegno,2
R. Brouri,J. Robert,2
M. Boustimi,B. Viaris de Lesegno,2
M. Boustimi,J. Robert,2
B. Viaris de Lesegno,J. Robert,2
Pawel Wocjan,Chen-Fu Chiang,13
Pawel Wocjan,Daniel Nagaj,13
Pawel Wocjan,Anura Abeyesinghe,13
Chen-Fu Chiang,Daniel Nagaj,13
Chen-Fu Chiang,Anura Abeyesinghe,13
Daniel Nagaj,Anura Abeyesinghe,13
K.-A. Suominen,K. Burnett,24
K.-A. Suominen,P. S. Julienne,24
K.-A. Suominen,M. Walhout,24
K.-A. Suominen,U. Sterr,24
K.-A. Suominen,C. Orzel,24
K.-A. Suominen,M. Hoogerland,24
K.-A. Suominen,S. L. Rolston,24
K. Burnett,P. S. Julienne,24
K. Burnett,M. Walhout,24
K. Burnett,U. Sterr,24
K. Burnett,C. Orzel,24
K. Burnett,M. Hoogerland,24
K. Burnett,S. L. Rolston,24
P. S. Julienne,M. Walhout,24
P. S. Julienne,U. Sterr,24
P. S. Julienne,C. Orzel,24
P. S. Julienne,M. Hoogerland,24
P. S. Julienne,S. L. Rolston,24
M. Walhout,U. Sterr,24
M. Walhout,C. Orzel,24
M. Walhout,M. Hoogerland,24
M. Walhout,S. L. Rolston,24
U. Sterr,C. Orzel,24
U. Sterr,M. Hoogerland,24
U. Sterr,S. L. Rolston,24
C. Orzel,M. Hoogerland,24
C. Orzel,S. L. Rolston,24
M. Hoogerland,S. L. Rolston,24
Nicholas K. Whitlock,Isabelle Bouchoule,19
H. M. Gibbs,G. R. Olbright,30
H. M. Gibbs,N. Peyghambarian,30
H. M. Gibbs,H. E. Schmidt,30
H. M. Gibbs,S. W. Koch,30
H. M. Gibbs,H. Haug,30
G. R. Olbright,N. Peyghambarian,30
G. R. Olbright,H. E. Schmidt,30
G. R. Olbright,S. W. Koch,30
G. R. Olbright,H. Haug,30
N. Peyghambarian,H. E. Schmidt,30
N. Peyghambarian,S. W. Koch,30
N. Peyghambarian,H. Haug,30
H. E. Schmidt,S. W. Koch,30
H. E. Schmidt,H. Haug,30
S. W. Koch,H. Haug,30
M. Murakami,J. Mauritsson,6
M. Murakami,A. L?Huillier,6
M. Murakami,K. J. Schafer,6
M. Murakami,M. B. Gaarde,6
J. Mauritsson,A. L?Huillier,6
J. Mauritsson,K. J. Schafer,6
J. Mauritsson,M. B. Gaarde,6
A. L?Huillier,K. J. Schafer,6
A. L?Huillier,M. B. Gaarde,6
K. J. Schafer,M. B. Gaarde,6
Anna Bernasconi,Chris Godsil,20
Anna Bernasconi,Simone Severini,20
Chris Godsil,Simone Severini,20
Ryo Okamoto,Shigeki Takeuchi,7
Ryo Okamoto,Keiji Sasaki,7
Shigeki Takeuchi,Keiji Sasaki,7
B. Fastrup,G. Hermann,73
B. Fastrup,K. J. Smith,73
G. Hermann,K. J. Smith,73
N. Moiseyev,R. Lefebvre,2
J. A. Spirko,A. P. Hickman,2
William P. Spencer,A. Ganesh Vaidyanathan,20
William P. Spencer,Daniel Kleppner,20
William P. Spencer,Theodore W. Ducas,20
A. Ganesh Vaidyanathan,Daniel Kleppner,20
A. Ganesh Vaidyanathan,Theodore W. Ducas,20
Daniel Kleppner,Theodore W. Ducas,20
John King Gamble,Mark Friesen,31
John King Gamble,Dong Zhou,31
John King Gamble,Robert Joynt,31
John King Gamble,S. N. Coppersmith,31
Mark Friesen,Dong Zhou,31
Mark Friesen,Robert Joynt,31
Mark Friesen,S. N. Coppersmith,31
Dong Zhou,Robert Joynt,31
Dong Zhou,S. N. Coppersmith,31
Robert Joynt,S. N. Coppersmith,31
O. Vázquez-Candanedo,J. C. Hernández-Herrejón,1
O. Vázquez-Candanedo,F. M. Izrailev,1
O. Vázquez-Candanedo,D. N. Christodoulides,1
J. C. Hernández-Herrejón,F. M. Izrailev,1
J. C. Hernández-Herrejón,D. N. Christodoulides,1
F. M. Izrailev,D. N. Christodoulides,1
H. F. Wellenstein,R. A. Bonham,47
H. F. Wellenstein,R. C. Ulsh,47
R. A. Bonham,R. C. Ulsh,47
F. T. Arecchi,G. Giacomelli,60
F. T. Arecchi,A. Lapucci,60
F. T. Arecchi,R. Meucci,60
G. Giacomelli,A. Lapucci,60
G. Giacomelli,R. Meucci,60
A. Lapucci,R. Meucci,60
Kazuya Fujimoto,Makoto Tsubota,13
Giovanni Barontini,Michele Modugno,3
O. S. Mishina,D. V. Kupriyanov,15
O. S. Mishina,J. H. Müller,15
O. S. Mishina,E. S. Polzik,15
D. V. Kupriyanov,J. H. Müller,15
D. V. Kupriyanov,E. S. Polzik,15
J. H. Müller,E. S. Polzik,15
B. N. Roy,D. N. Tripathi,3
B. N. Roy,D. K. Rai,3
D. N. Tripathi,D. K. Rai,3
V. S. Melezhik,F. R. Vukajlovic,6
Thomas M. Miller,Amy E. Stevens Miller,35
Thomas M. Miller,W. C. Lineberger,35
Amy E. Stevens Miller,W. C. Lineberger,35
Hyunchul Nha,Jaewan Kim,14
S. Svensson,L. Karlsson,37
S. Svensson,P. Baltzer,37
S. Svensson,M. P. Keane,37
S. Svensson,B. Wannberg,37
L. Karlsson,P. Baltzer,37
L. Karlsson,M. P. Keane,37
L. Karlsson,B. Wannberg,37
P. Baltzer,M. P. Keane,37
P. Baltzer,B. Wannberg,37
M. P. Keane,B. Wannberg,37
O. Docenko,M. Tamanis,30
O. Docenko,R. Ferber,30
O. Docenko,A. Pashov,30
O. Docenko,H. Knöckel,30
O. Docenko,E. Tiemann,30
M. Tamanis,R. Ferber,30
M. Tamanis,A. Pashov,30
M. Tamanis,H. Knöckel,30
M. Tamanis,E. Tiemann,30
R. Ferber,A. Pashov,30
R. Ferber,H. Knöckel,30
R. Ferber,E. Tiemann,30
A. Pashov,H. Knöckel,30
A. Pashov,E. Tiemann,30
H. Knöckel,E. Tiemann,30
B. Dubetsky,P. R. Berman,11
A. Raczynski,J. Zaremba,6
Min-Kang Zhou,Bruno Pelle,2
Min-Kang Zhou,Adèle Hilico,2
Min-Kang Zhou,Franck Pereira dos Santos,2
Bruno Pelle,Adèle Hilico,2
Bruno Pelle,Franck Pereira dos Santos,2
Adèle Hilico,Franck Pereira dos Santos,2
Kelly R. Patton,Uwe R. Fischer,6
Arne W. Fliflet,Hugh P. Kelly,12
Kishore T. Kapale,Marlan O. Scully,54
Kishore T. Kapale,Shi-Yao Zhu,54
Kishore T. Kapale,M. Suhail Zubairy,54
Marlan O. Scully,Shi-Yao Zhu,54
Marlan O. Scully,M. Suhail Zubairy,54
Shi-Yao Zhu,M. Suhail Zubairy,54
Jurij W. Darewych,Askold Duviryak,7
F. Perrot,N. H. March,31
A. M. Khazanov,G. A. Koganov,1
A. M. Khazanov,R. Shuker,1
G. A. Koganov,R. Shuker,1
A. E. Kaplan,Y. J. Ding,20
J. H. Sanderson,T. Nishide,22
J. H. Sanderson,H. Shiromaru,22
J. H. Sanderson,Y. Achiba,22
J. H. Sanderson,N. Kobayashi,22
T. Nishide,H. Shiromaru,22
T. Nishide,Y. Achiba,22
T. Nishide,N. Kobayashi,22
H. Shiromaru,Y. Achiba,22
H. Shiromaru,N. Kobayashi,22
Y. Achiba,N. Kobayashi,22
J. Brust,Chris H. Greene,1
D. A. Evensky,K. M. Sando,6
Stephen Powell,Ryan Barnett,12
Stephen Powell,Rajdeep Sensarma,12
Stephen Powell,Sankar Das Sarma,12
Ryan Barnett,Rajdeep Sensarma,12
Ryan Barnett,Sankar Das Sarma,12
Rajdeep Sensarma,Sankar Das Sarma,12
M. I. Makin,Jared H. Cole,43
M. I. Makin,Charles Tahan,43
M. I. Makin,Lloyd C. L. Hollenberg,43
M. I. Makin,Andrew D. Greentree,43
Jared H. Cole,Charles Tahan,43
Jared H. Cole,Lloyd C. L. Hollenberg,43
Jared H. Cole,Andrew D. Greentree,43
Charles Tahan,Lloyd C. L. Hollenberg,43
Charles Tahan,Andrew D. Greentree,43
Lloyd C. L. Hollenberg,Andrew D. Greentree,43
O. Benka,J. Pürstinger,15
O. Benka,A. Koyama,15
J. Pürstinger,A. Koyama,15
S. M. Dutra,P. L. Knight,31
Marek Trippenbach,Kazimierz Rza¸ewski,11
Marek Trippenbach,Rainer Grobe,11
Kazimierz Rza¸ewski,Rainer Grobe,11
S. S. Liaw,G. Feldman,3
S. S. Liaw,T. Fulton,3
G. Feldman,T. Fulton,3
Piotr S. Zuchowski,Jeremy M. Hutson,32
Akio Itoh,M. E. Rudd,2
Gerhard Stock,Wolfgang Domcke,58
Yasufumi Susuki,Ken-ich Nishioka,2
Yasufumi Susuki,Mitsuru Maehara,2
Yasufumi Susuki,Junko Hyoi,2
Yasufumi Susuki,Takeshi Ikeda,2
Yasufumi Susuki,Katsuhiko Katsura,2
Ken-ich Nishioka,Mitsuru Maehara,2
Ken-ich Nishioka,Junko Hyoi,2
Ken-ich Nishioka,Takeshi Ikeda,2
Ken-ich Nishioka,Katsuhiko Katsura,2
Mitsuru Maehara,Junko Hyoi,2
Mitsuru Maehara,Takeshi Ikeda,2
Mitsuru Maehara,Katsuhiko Katsura,2
Junko Hyoi,Takeshi Ikeda,2
Junko Hyoi,Katsuhiko Katsura,2
Takeshi Ikeda,Katsuhiko Katsura,2
Luigi Bonacina,Jérôme Extermann,18
Luigi Bonacina,Ariana Rondi,18
Luigi Bonacina,Véronique Boutou,18
Luigi Bonacina,Jean-Pierre Wolf,18
Jérôme Extermann,Ariana Rondi,18
Jérôme Extermann,Véronique Boutou,18
Jérôme Extermann,Jean-Pierre Wolf,18
Ariana Rondi,Véronique Boutou,18
Ariana Rondi,Jean-Pierre Wolf,18
Véronique Boutou,Jean-Pierre Wolf,18
Federico Moscardó,Emilio San-Fabián,46
R. W. Dunford,S. H. Southworth,1
R. W. Dunford,D. Ray,1
R. W. Dunford,E. P. Kanter,1
R. W. Dunford,B. Krässig,1
R. W. Dunford,L. Young,1
R. W. Dunford,D. A. Arms,1
R. W. Dunford,E. M. Dufresne,1
R. W. Dunford,D. A. Walko,1
R. W. Dunford,O. Vendrell,1
R. W. Dunford,S.-K. Son,1
R. W. Dunford,R. Santra,1
S. H. Southworth,D. Ray,1
S. H. Southworth,E. P. Kanter,1
S. H. Southworth,B. Krässig,1
S. H. Southworth,L. Young,1
S. H. Southworth,D. A. Arms,1
S. H. Southworth,E. M. Dufresne,1
S. H. Southworth,D. A. Walko,1
S. H. Southworth,O. Vendrell,1
S. H. Southworth,S.-K. Son,1
S. H. Southworth,R. Santra,1
D. Ray,E. P. Kanter,1
D. Ray,B. Krässig,1
D. Ray,L. Young,1
D. Ray,D. A. Arms,1
D. Ray,E. M. Dufresne,1
D. Ray,D. A. Walko,1
D. Ray,O. Vendrell,1
D. Ray,S.-K. Son,1
D. Ray,R. Santra,1
E. P. Kanter,B. Krässig,1
E. P. Kanter,L. Young,1
E. P. Kanter,D. A. Arms,1
E. P. Kanter,E. M. Dufresne,1
E. P. Kanter,D. A. Walko,1
E. P. Kanter,O. Vendrell,1
E. P. Kanter,S.-K. Son,1
E. P. Kanter,R. Santra,1
B. Krässig,L. Young,1
B. Krässig,D. A. Arms,1
B. Krässig,E. M. Dufresne,1
B. Krässig,D. A. Walko,1
B. Krässig,O. Vendrell,1
B. Krässig,S.-K. Son,1
B. Krässig,R. Santra,1
L. Young,D. A. Arms,1
L. Young,E. M. Dufresne,1
L. Young,D. A. Walko,1
L. Young,O. Vendrell,1
L. Young,S.-K. Son,1
L. Young,R. Santra,1
D. A. Arms,E. M. Dufresne,1
D. A. Arms,D. A. Walko,1
D. A. Arms,O. Vendrell,1
D. A. Arms,S.-K. Son,1
D. A. Arms,R. Santra,1
E. M. Dufresne,D. A. Walko,1
E. M. Dufresne,O. Vendrell,1
E. M. Dufresne,S.-K. Son,1
E. M. Dufresne,R. Santra,1
D. A. Walko,O. Vendrell,1
D. A. Walko,S.-K. Son,1
D. A. Walko,R. Santra,1
O. Vendrell,S.-K. Son,1
O. Vendrell,R. Santra,1
S.-K. Son,R. Santra,1
Weixing Shu,Dongmo Song,1
Weixing Shu,Zhixiang Tang,1
Weixing Shu,Hailu Luo,1
Weixing Shu,Yougang Ke,1
Weixing Shu,Xiaofang Lü,1
Weixing Shu,Shuangchun Wen,1
Weixing Shu,Dianyuan Fan,1
Dongmo Song,Zhixiang Tang,1
Dongmo Song,Hailu Luo,1
Dongmo Song,Yougang Ke,1
Dongmo Song,Xiaofang Lü,1
Dongmo Song,Shuangchun Wen,1
Dongmo Song,Dianyuan Fan,1
Zhixiang Tang,Hailu Luo,1
Zhixiang Tang,Yougang Ke,1
Zhixiang Tang,Xiaofang Lü,1
Zhixiang Tang,Shuangchun Wen,1
Zhixiang Tang,Dianyuan Fan,1
Hailu Luo,Yougang Ke,1
Hailu Luo,Xiaofang Lü,1
Hailu Luo,Shuangchun Wen,1
Hailu Luo,Dianyuan Fan,1
Yougang Ke,Xiaofang Lü,1
Yougang Ke,Shuangchun Wen,1
Yougang Ke,Dianyuan Fan,1
Xiaofang Lü,Shuangchun Wen,1
Xiaofang Lü,Dianyuan Fan,1
Shuangchun Wen,Dianyuan Fan,1
H. Jing,Y. Jiang,12
J. Y. Zhang,J. Mitroy,10
Robert Graham,Michael Höhnerbach,9
P. Kürpick,W.-D. Sepp,20
P. Kürpick,B. Fricke,20
W.-D. Sepp,B. Fricke,20
P. Froelich,A. Flores-Riveros,6
P. Froelich,S. A. Alexander,6
A. Flores-Riveros,S. A. Alexander,6
Clemens Gneiting,Klaus Hornberger,1
J. Javanainen,J. H. Eberly,298
J. Javanainen,Qichang Su,298
J. H. Eberly,Qichang Su,298
Takahiko Miyakawa,Takaaki Sogo,65
Takahiko Miyakawa,Han Pu,65
Takaaki Sogo,Han Pu,65
T. T. Nguyen-Dang,E. Sinelnikov,6
T. T. Nguyen-Dang,A. Keller,6
T. T. Nguyen-Dang,O. Atabek,6
E. Sinelnikov,A. Keller,6
E. Sinelnikov,O. Atabek,6
A. Keller,O. Atabek,6
Michael R. Geller,Zhongyuan Zhou,4
Fardin Kheirandish,Morteza Soltani,16
R. Reichle,I. Mistrík,6
R. Reichle,U. Müller,6
R. Reichle,H. Helm,6
I. Mistrík,U. Müller,6
I. Mistrík,H. Helm,6
U. Müller,H. Helm,6
C. Di Franco,M. Paternostro,21
C. Di Franco,D. I. Tsomokos,21
C. Di Franco,S. F. Huelga,21
M. Paternostro,D. I. Tsomokos,21
M. Paternostro,S. F. Huelga,21
D. I. Tsomokos,S. F. Huelga,21
Ya. A. Fofanov,A. S. Kuraptsev,9
Ya. A. Fofanov,I. M. Sokolov,9
Ya. A. Fofanov,M. D. Havey,9
A. S. Kuraptsev,I. M. Sokolov,9
A. S. Kuraptsev,M. D. Havey,9
I. M. Sokolov,M. D. Havey,9
H. E. Wilhelm,S. H. Hong,5
A. A. Madej,J. D. Sankey,7
A. A. Madej,G. R. Hanes,7
A. A. Madej,K. J. Siemsen,7
A. A. Madej,A. R. W. McKellar,7
J. D. Sankey,G. R. Hanes,7
J. D. Sankey,K. J. Siemsen,7
J. D. Sankey,A. R. W. McKellar,7
G. R. Hanes,K. J. Siemsen,7
G. R. Hanes,A. R. W. McKellar,7
K. J. Siemsen,A. R. W. McKellar,7
L. Slodicka,G. Hétet,4
L. Slodicka,N. Röck,4
L. Slodicka,S. Gerber,4
L. Slodicka,P. Schindler,4
L. Slodicka,M. Kumph,4
L. Slodicka,M. Hennrich,4
L. Slodicka,R. Blatt,4
G. Hétet,N. Röck,4
G. Hétet,S. Gerber,4
G. Hétet,P. Schindler,4
G. Hétet,M. Kumph,4
G. Hétet,M. Hennrich,4
G. Hétet,R. Blatt,4
N. Röck,S. Gerber,4
N. Röck,P. Schindler,4
N. Röck,M. Kumph,4
N. Röck,M. Hennrich,4
N. Röck,R. Blatt,4
S. Gerber,P. Schindler,4
S. Gerber,M. Kumph,4
S. Gerber,M. Hennrich,4
S. Gerber,R. Blatt,4
P. Schindler,M. Kumph,4
P. Schindler,M. Hennrich,4
P. Schindler,R. Blatt,4
M. Kumph,M. Hennrich,4
M. Kumph,R. Blatt,4
M. Hennrich,R. Blatt,4
Y. J. Huang,W. T. Lu,19
Y. J. Huang,S. Sridhar,19
W. T. Lu,S. Sridhar,19
Paolo Giorda,Michele Allegra,12
Paolo Giorda,Matteo G. A. Paris,12
Michele Allegra,Matteo G. A. Paris,12
G. Passante,O. Moussa,14
G. Passante,R. Laflamme,14
O. Moussa,R. Laflamme,14
Peter Jung,Peter Hänggi,83
Christopher C. Gerry,Rainer Grobe,16
Luca Salasnich,Sadhan K. Adhikari,18
Luca Salasnich,Flavio Toigo,18
Sadhan K. Adhikari,Flavio Toigo,18
Kai-Jun Yuan,HuiZhong Lu,11
Kai-Jun Yuan,André D. Bandrauk,11
HuiZhong Lu,André D. Bandrauk,11
M. M. Tabanli,J. L. Peacher,2
M. M. Tabanli,D. H. Madison,2
J. L. Peacher,D. H. Madison,2
K. Y. R. Billah,M. Shinozuka,38
A. A. Semenov,F. Töppel,3
A. A. Semenov,D. Yu. Vasylyev,3
A. A. Semenov,H. V. Gomonay,3
A. A. Semenov,W. Vogel,3
F. Töppel,D. Yu. Vasylyev,3
F. Töppel,H. V. Gomonay,3
F. Töppel,W. Vogel,3
D. Yu. Vasylyev,H. V. Gomonay,3
D. Yu. Vasylyev,W. Vogel,3
H. V. Gomonay,W. Vogel,3
J. Calmet,H. Grotch,2
J. Calmet,D. A. Owen,2
H. Grotch,D. A. Owen,2
Shuo Yang,Shi-Jian Gu,55
Shuo Yang,Chang-Pu Sun,55
Shuo Yang,Hai-Qing Lin,55
Shi-Jian Gu,Chang-Pu Sun,55
Shi-Jian Gu,Hai-Qing Lin,55
Chang-Pu Sun,Hai-Qing Lin,55
Salvador Miret-Artés,Osman Atabek,20
Salvador Miret-Artés,André D. Bandrauk,20
Osman Atabek,André D. Bandrauk,20
Sanjay Puri,Burkhard Dünweg,57
Larisa L. Tatarinova,Martin E. Garcia,3
I. E. McCarthy,A. T. Stelbovics,29
J. Landau,J. T. Tough,46
J. Landau,N. R. Brubaker,46
J. Landau,D. O. Edwards,46
J. T. Tough,N. R. Brubaker,46
J. T. Tough,D. O. Edwards,46
N. R. Brubaker,D. O. Edwards,46
I. J. Feng,M. Lamoureux,10
I. J. Feng,R. H. Pratt,10
I. J. Feng,H. K. Tseng,10
M. Lamoureux,R. H. Pratt,10
M. Lamoureux,H. K. Tseng,10
R. H. Pratt,H. K. Tseng,10
Akira SaiToh,Masahiro Kitagawa,5
C. M. Bowden,C. C. Sung,1
S. A. Alexander,Sumita Datta,3
S. A. Alexander,R. L. Coldwell,3
