Author1,Author2,Shared Citations
Y.-F. Hsieh,T. S. Stein,219
W. E. Kauppila,V. Pol,219
W. E. Kauppila,J. H. Smart,219
W. E. Kauppila,T. S. Stein,219
V. Pol,J. H. Smart,219
V. Pol,T. S. Stein,219
J. H. Smart,T. S. Stein,219
N. Canosa,R. Rossignoli,24
Mark S. Everitt,Simon Devitt,1
Mark S. Everitt,W. J. Munro,1
Mark S. Everitt,Kae Nemoto,1
Simon Devitt,W. J. Munro,1
Simon Devitt,Kae Nemoto,1
W. J. Munro,Kae Nemoto,1
Hong Sun,Xiangming Hu,2
Satyabrata Adhikari,A. S. Majumdar,4
Satyabrata Adhikari,N. Nayak,4
A. S. Majumdar,N. Nayak,4
S. Redner,K. Kang,18
A. K. Sen,D. E. Sullivan,115
T. C. Elston,Ronald F. Fox,3
Alec Rose,Stéphane Larouche,6
Alec Rose,Ekaterina Poutrina,6
Alec Rose,David R. Smith,6
Stéphane Larouche,Ekaterina Poutrina,6
Stéphane Larouche,David R. Smith,6
Ekaterina Poutrina,David R. Smith,6
B. Plenkiewicz,P. Plenkiewicz,22
B. Plenkiewicz,J.-P. Jay-Gerin,22
P. Plenkiewicz,J.-P. Jay-Gerin,22
Alexandr Zaviyalov,Oleg Egorov,19
Alexandr Zaviyalov,Rumen Iliew,19
Alexandr Zaviyalov,Falk Lederer,19
Oleg Egorov,Rumen Iliew,19
Oleg Egorov,Falk Lederer,19
Rumen Iliew,Falk Lederer,19
Guenter Ahlers,P. C. Hohenberg,85
Guenter Ahlers,M. Lücke,85
P. C. Hohenberg,M. Lücke,85
Y. Nogami,F. M. Toyama,18
Zheng-Wei Xie,W. M. Liu,13
Harold D. Bale,J. S. Lin,9
Harold D. Bale,Duane A. Dolejsi,9
Harold D. Bale,James L. Casteel,9
Harold D. Bale,O. Allan Pringle,9
Harold D. Bale,Paul W. Schmidt,9
J. S. Lin,Duane A. Dolejsi,9
J. S. Lin,James L. Casteel,9
J. S. Lin,O. Allan Pringle,9
J. S. Lin,Paul W. Schmidt,9
Duane A. Dolejsi,James L. Casteel,9
Duane A. Dolejsi,O. Allan Pringle,9
Duane A. Dolejsi,Paul W. Schmidt,9
James L. Casteel,O. Allan Pringle,9
James L. Casteel,Paul W. Schmidt,9
O. Allan Pringle,Paul W. Schmidt,9
Karim Faid,Ronald F. Fox,26
K. -N. Huang,V. W. Hughes,34
B. Oumarou,J. Picart,22
B. Oumarou,N. Tran Minh,22
B. Oumarou,J. Chapelle,22
J. Picart,N. Tran Minh,22
J. Picart,J. Chapelle,22
N. Tran Minh,J. Chapelle,22
J. H. Eberly,S. V. ONeil,37
M. Quijada,A. G. Borisov,15
M. Quijada,I. Nagy,15
M. Quijada,R. Díez Muiño,15
M. Quijada,P. M. Echenique,15
A. G. Borisov,I. Nagy,15
A. G. Borisov,R. Díez Muiño,15
A. G. Borisov,P. M. Echenique,15
I. Nagy,R. Díez Muiño,15
I. Nagy,P. M. Echenique,15
